Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_248,Bridge,New York,2020-08-30,2021-11-30,45256324,52461709.76,7205385.76,423,457.94,34.94,0.8793,0.3970,320.05,3.46,58.31,Stormy,210,30089.69,842.73,1801,51.09,0,6.88,51.84,0,70.03,High
PJT_249,Bridge,Los Angeles,2020-08-31,2023-03-15,4290439,3950537.42,-339901.58,519,926.80,407.80,1.9881,0.8067,177.97,26.35,68.99,Stormy,251,30297.97,969.66,6901,95.89,1,7.92,66.14,0,83.82,High
PJT_250,Road,Chicago,2020-09-01,2021-07-19,10029215,9320300.94,-708914.06,246,321.20,75.20,1.7329,1.6460,236.19,1.54,34.63,Snowy,77,30711.52,981.41,9666,99.23,7,7.52,80.24,0,73.61,High
PJT_251,Road,Chicago,2020-09-02,2022-03-17,39597172,59267693.54,19670521.54,504,561.62,57.62,0.7723,0.6486,303.19,18.58,64.23,Rainy,256,13095.83,648.47,5759,98.76,0,2.06,73.24,0,76.37,High
PJT_252,Dam,Chicago,2020-09-02,2022-09-15,23400419,25208628.55,1808209.55,604,743.44,139.44,1.6315,1.0617,338.28,27.95,37.81,Snowy,128,18512.78,594.99,1100,46.83,5,4.07,86.22,0,12.62,Medium
PJT_253,Dam,Seattle,2020-09-03,2023-01-30,46128896,53575039.81,7446143.81,518,879.93,361.93,1.0016,0.1778,111.09,-1.45,52.24,Stormy,279,20079.93,805.59,7782,95.67,0,8.52,64.97,1,38.40,High
PJT_254,Bridge,Houston,2020-09-04,2022-05-16,23261304,31860960.79,8599656.79,393,619.02,226.02,1.7873,1.7680,486.33,5.43,22.18,Rainy,210,29042.29,249.37,7382,51.24,1,8.78,87.58,1,38.30,High
PJT_255,Tunnel,Los Angeles,2020-09-05,2022-03-28,16947901,18499130.94,1551229.94,603,569.00,-34.00,1.6760,1.5131,286.30,-0.37,46.20,Snowy,249,14094.43,183.34,9290,41.50,7,9.14,57.70,1,53.51,High
PJT_256,Bridge,Los Angeles,2020-09-06,2022-01-29,7593550,10512434.96,2918884.96,515,510.95,-4.05,1.8822,3.3836,109.72,29.85,52.16,Stormy,79,5184.94,939.10,2426,60.00,0,1.93,88.31,0,12.02,Medium
PJT_257,Building,Seattle,2020-09-07,2022-02-23,20231211,20834550.22,603339.22,508,534.29,26.29,0.7064,2.2056,102.94,-1.79,39.15,Snowy,295,33032.52,562.65,4384,72.55,8,3.87,57.08,0,35.49,High
PJT_258,Dam,Seattle,2020-09-08,2021-08-11,23732382,28511493.19,4779111.19,252,337.03,85.03,0.1964,0.1450,456.48,-7.22,46.85,Snowy,159,22636.25,734.21,8304,76.98,4,3.99,59.91,0,82.84,Medium
PJT_259,Tunnel,New York,2020-09-09,2022-09-29,47882212,55274236.21,7392024.21,761,750.85,-10.15,0.9656,3.4224,369.60,15.60,36.22,Cloudy,86,43749.33,655.25,6954,63.52,5,8.10,94.12,0,12.72,High
PJT_260,Road,Houston,2020-09-10,2022-08-23,12462297,12879376.31,417079.31,539,712.69,173.69,0.7624,2.8734,278.58,12.31,70.00,Snowy,133,30026.74,163.83,5949,71.96,6,6.31,61.93,0,24.31,High
PJT_261,Road,New York,2020-09-11,2021-08-24,47577568,58716933.94,11139365.94,247,347.58,100.58,1.5902,2.1768,404.30,19.95,36.53,Snowy,239,46888.85,616.77,8972,46.86,9,5.17,77.75,0,25.86,High
PJT_262,Road,Houston,2020-09-12,2022-10-21,41024089,55438854.28,14414765.28,792,769.63,-22.37,0.8199,2.4715,347.07,-5.02,77.19,Stormy,281,38974.48,828.86,3403,79.65,7,5.78,69.50,0,27.61,High
PJT_263,Building,Los Angeles,2020-09-13,2023-09-22,46604427,48839462.84,2235035.84,763,1104.00,341.00,1.8923,2.1736,492.16,8.93,26.25,Snowy,206,49388.97,463.78,3089,91.15,0,4.32,77.44,1,73.30,High
PJT_264,Building,Houston,2020-09-14,2023-01-08,16786767,18979371.84,2192604.84,468,846.81,378.81,1.2213,3.1261,370.30,12.33,50.46,Cloudy,219,12803.45,225.16,7301,90.60,5,8.56,57.71,1,70.31,High
PJT_265,Dam,Houston,2020-09-15,2022-02-13,10663400,14063643.70,3400243.70,253,516.65,263.65,1.0247,2.1837,495.60,-5.34,64.96,Rainy,270,25521.29,810.04,7974,77.39,7,5.58,77.60,0,41.98,High
PJT_266,Dam,New York,2020-09-16,2022-09-08,34430747,48217593.70,13786846.70,799,722.94,-76.06,0.5498,2.5086,234.88,20.04,45.69,Snowy,195,26747.07,431.72,8889,97.70,1,2.28,86.56,0,98.53,High
PJT_267,Building,New York,2020-09-17,2022-07-19,41941145,38061175.04,-3879969.96,709,670.46,-38.54,0.9977,3.7084,482.18,-5.71,64.36,Stormy,129,32586.76,913.23,9765,86.71,7,5.09,95.30,0,39.84,High
PJT_268,Building,Los Angeles,2020-09-18,2022-01-15,47644093,69077356.89,21433263.89,476,484.78,8.78,1.5239,3.6349,303.67,-6.62,53.12,Cloudy,196,7322.89,991.33,1447,57.21,1,2.14,53.84,0,32.68,High
PJT_269,Bridge,Los Angeles,2020-09-19,2023-01-02,1953147,2601453.05,648306.05,461,835.66,374.66,1.2473,4.5507,382.54,26.25,45.88,Cloudy,116,40213.75,312.58,3962,87.96,0,4.09,54.22,1,94.05,High
PJT_270,Dam,New York,2020-09-20,2023-04-08,16968382,21709920.40,4741538.40,602,930.29,328.29,1.4794,0.8364,309.99,36.30,23.80,Sunny,243,41878.90,147.27,8602,63.92,4,5.29,97.41,0,31.03,High
PJT_271,Road,New York,2020-09-21,2021-12-09,30174527,25881023.01,-4293503.99,448,444.93,-3.07,1.8617,2.2441,355.32,42.90,67.80,Snowy,74,46297.05,673.68,8074,76.63,4,4.01,63.35,1,68.89,Medium
PJT_272,Road,New York,2020-09-22,2023-12-24,46089764,56813505.76,10723741.76,871,1188.02,317.02,0.4704,1.6870,360.63,-0.10,58.33,Snowy,262,8057.84,470.12,9605,46.23,7,4.16,86.26,0,13.06,High
PJT_273,Bridge,Houston,2020-09-23,2022-07-10,45064050,64490194.28,19426144.28,238,655.41,417.41,0.5120,2.9969,104.81,42.68,26.05,Stormy,83,21918.13,787.47,4027,93.76,2,3.28,73.35,0,67.49,High
PJT_274,Building,New York,2020-09-24,2024-04-02,22703283,23095341.16,392058.16,888,1286.80,398.80,1.5834,1.3864,78.07,11.37,89.72,Sunny,294,41576.04,260.14,2137,69.50,3,6.49,58.92,0,22.95,High
PJT_275,Road,Seattle,2020-09-25,2023-08-29,30634046,40284083.16,9650037.16,808,1068.97,260.97,0.2962,0.3646,307.11,3.78,51.21,Rainy,88,34378.94,100.78,1619,79.88,4,2.36,66.49,0,10.33,High
PJT_276,Road,New York,2020-09-26,2022-10-26,49839644,67662752.94,17823108.94,626,760.07,134.07,1.5922,2.7006,51.49,42.48,77.26,Rainy,81,30525.97,941.54,6880,60.01,4,4.61,81.61,0,18.16,High
PJT_277,Bridge,Los Angeles,2020-09-27,2022-06-16,20458796,26004463.05,5545667.05,262,627.83,365.83,0.4356,0.1967,222.87,0.51,68.71,Snowy,211,35997.92,537.85,8175,84.12,2,1.32,51.27,0,31.46,High
PJT_278,Road,Houston,2020-09-28,2023-06-19,34533235,41338389.87,6805154.87,733,994.01,261.01,1.6851,2.2465,498.13,-7.96,23.92,Snowy,153,10318.42,826.39,9570,67.50,8,2.34,78.97,0,13.32,High
PJT_279,Dam,New York,2020-09-29,2022-11-17,42498248,37388730.42,-5109517.58,849,779.10,-69.90,1.4325,0.6527,127.51,-7.25,41.51,Snowy,166,32505.17,851.82,2047,89.07,1,2.03,79.75,0,15.68,Low
PJT_280,Dam,New York,2020-09-30,2023-02-22,46526508,51705168.74,5178660.74,525,875.11,350.11,0.3295,3.4204,295.65,7.69,87.53,Cloudy,245,7051.39,256.10,2035,47.24,2,7.82,58.40,0,24.85,High
PJT_281,Dam,Chicago,2020-10-01,2021-04-30,43425862,54199252.89,10773390.89,221,211.69,-9.31,1.5776,0.0782,269.14,-9.65,32.56,Snowy,230,34329.01,898.22,7819,81.61,7,7.23,60.31,0,57.08,High
PJT_282,Road,Seattle,2020-10-02,2022-05-26,3524716,4362106.68,837390.68,358,601.59,243.59,1.4627,3.0602,89.61,35.46,41.08,Rainy,51,30096.97,272.71,9686,98.61,9,4.26,88.06,0,29.73,High
PJT_283,Dam,Los Angeles,2020-10-03,2021-06-16,11013811,14267383.73,3253572.73,234,256.67,22.67,1.9403,2.3721,129.35,26.86,23.02,Sunny,122,14431.54,326.24,8424,42.60,0,9.32,58.79,1,53.66,High
PJT_284,Tunnel,Houston,2020-10-04,2022-09-26,40775870,50025678.52,9249808.52,420,722.34,302.34,0.8962,3.7354,454.27,2.65,27.71,Cloudy,75,15670.33,471.34,4276,62.53,3,1.66,79.25,1,49.23,High
PJT_285,Dam,Chicago,2020-10-05,2022-07-26,26064159,24465461.67,-1598697.33,645,659.37,14.37,1.4677,3.1601,489.00,1.12,28.90,Stormy,65,17627.19,200.00,8627,67.51,2,7.84,60.99,0,24.11,High
PJT_286,Bridge,Seattle,2020-10-06,2024-01-24,16415060,14875463.88,-1539596.12,771,1205.17,434.17,1.7283,2.4461,498.05,22.54,78.59,Sunny,53,37850.80,762.56,5041,54.87,6,6.22,94.59,0,23.41,High
PJT_287,Bridge,Houston,2020-10-07,2023-08-19,3688292,5511517.19,1823225.19,607,1046.50,439.50,1.4936,2.5211,241.56,11.69,76.68,Snowy,165,27287.83,174.78,1203,81.59,6,9.55,56.64,1,68.29,High
PJT_288,Tunnel,Houston,2020-10-08,2023-05-11,11858404,15500688.09,3642284.09,671,945.59,274.59,1.7301,3.7364,60.99,15.02,74.03,Rainy,97,40543.64,433.38,8607,82.23,0,8.74,53.53,1,39.96,High
PJT_289,Tunnel,Los Angeles,2020-10-09,2023-05-02,47845676,70092100.59,22246424.59,616,935.03,319.03,1.1306,3.9724,404.46,-5.55,81.66,Snowy,181,47539.50,707.19,1844,46.66,5,5.19,52.04,0,68.34,High
PJT_290,Tunnel,Chicago,2020-10-10,2021-10-27,23476750,23596745.74,119995.74,389,382.36,-6.64,0.3158,2.3925,472.62,21.91,87.14,Cloudy,242,38525.75,302.89,6778,93.88,8,7.12,63.86,1,41.07,High
PJT_291,Road,Chicago,2020-10-11,2023-09-24,32552161,42688462.45,10136301.45,719,1078.67,359.67,1.3888,2.6643,181.52,24.15,75.99,Snowy,98,45135.64,512.09,2313,63.44,2,3.60,97.83,1,34.83,High
PJT_292,Dam,New York,2020-10-12,2022-09-29,35942755,52795166.19,16852411.19,334,717.75,383.75,0.1431,2.0827,357.08,41.24,53.17,Rainy,163,38196.92,119.33,4097,43.78,3,8.51,75.98,1,62.08,High
PJT_293,Building,New York,2020-10-13,2023-09-07,36578853,51109440.80,14530587.80,787,1059.90,272.90,0.9460,1.5204,109.38,33.41,32.02,Sunny,108,26790.94,973.65,1775,48.90,4,5.10,58.32,0,74.06,High
PJT_294,Building,Seattle,2020-10-14,2022-10-07,47496998,68303639.61,20806641.61,359,723.85,364.85,1.6095,0.8063,102.61,44.66,60.22,Rainy,116,21635.25,284.64,1568,79.93,5,2.33,72.42,0,58.03,High
PJT_295,Tunnel,Houston,2020-10-15,2023-07-19,10756547,15769774.33,5013227.33,594,1007.47,413.47,1.8628,0.7803,486.57,20.04,55.52,Sunny,171,45318.99,972.65,3409,87.97,7,4.05,55.62,0,13.61,High
PJT_296,Bridge,Houston,2020-10-16,2021-12-18,42441199,59272105.10,16830906.10,495,428.14,-66.86,0.9473,0.4624,74.77,25.27,60.84,Cloudy,250,47104.93,350.13,1369,45.02,7,7.09,97.88,0,45.50,High
PJT_297,Road,Los Angeles,2020-10-17,2023-08-20,4761291,6858594.54,2097303.54,797,1037.69,240.69,0.7860,0.7397,434.21,10.33,46.10,Sunny,138,20810.98,979.77,2435,52.94,7,7.67,70.78,0,24.74,High
PJT_298,Road,New York,2020-10-18,2022-09-02,41126786,37258839.88,-3867946.12,322,684.82,362.82,0.4948,2.3731,440.39,44.27,24.63,Stormy,243,21909.76,105.96,5478,64.87,8,5.16,78.40,0,27.93,High
PJT_299,Road,Los Angeles,2020-10-19,2023-05-04,21266400,29613044.78,8346644.78,747,927.01,180.01,0.6774,2.7964,258.55,-8.52,20.17,Sunny,126,48021.20,850.82,8742,47.45,4,4.75,74.59,0,32.03,High
PJT_300,Tunnel,Los Angeles,2020-10-20,2023-11-24,5477827,6788557.94,1310730.94,684,1131.00,447.00,0.7873,2.4024,246.23,4.19,68.01,Snowy,145,28063.66,617.74,5252,49.77,0,2.32,73.05,0,42.16,High
PJT_301,Tunnel,Los Angeles,2020-10-21,2022-09-12,24889703,21944372.17,-2945330.83,549,691.34,142.34,0.6542,3.1947,84.57,0.66,63.96,Snowy,203,38868.28,589.34,6180,89.61,4,3.44,84.90,0,58.10,Medium
PJT_302,Building,Seattle,2020-10-21,2021-04-24,19885626,21724235.60,1838609.60,193,185.58,-7.42,1.0213,1.7016,459.85,-4.37,30.82,Cloudy,262,13478.76,907.35,9612,90.76,8,7.32,90.13,0,92.44,High
PJT_303,Tunnel,Seattle,2020-10-22,2021-10-28,21909341,28464242.43,6554901.43,197,371.14,174.14,0.3641,2.2097,494.41,18.77,87.91,Cloudy,231,18710.79,770.01,2943,53.34,2,7.19,65.37,1,98.30,High
PJT_304,Road,Houston,2020-10-23,2021-04-29,33497795,44962988.90,11465193.90,259,188.97,-70.03,0.1808,0.5391,406.87,18.24,24.15,Snowy,282,16385.56,159.62,1168,85.27,1,9.28,60.27,1,26.63,High
PJT_305,Building,Houston,2020-10-24,2021-07-20,19614365,28768674.40,9154309.40,272,269.15,-2.85,0.7609,0.8028,275.29,30.07,36.93,Stormy,67,9459.76,620.32,1229,71.73,3,9.68,58.59,1,10.39,High
PJT_306,Tunnel,Seattle,2020-10-25,2023-09-27,32857618,35755691.67,2898073.67,696,1067.19,371.19,1.2198,2.1983,480.99,-0.05,44.84,Rainy,158,14642.33,304.80,2848,85.68,5,2.11,55.52,1,78.60,High
PJT_307,Building,Chicago,2020-10-26,2021-04-28,34132505,31580065.85,-2552439.15,221,184.59,-36.41,0.6389,3.0019,190.40,43.69,51.08,Stormy,154,18076.52,869.83,4093,91.41,7,9.45,68.37,1,70.67,High
PJT_308,Tunnel,New York,2020-10-27,2023-01-30,46400399,42004139.44,-4396259.56,628,825.01,197.01,0.3724,2.0031,315.75,-4.41,84.77,Cloudy,66,21366.95,279.18,4281,75.70,6,2.10,91.91,0,35.07,High
PJT_309,Bridge,Chicago,2020-10-28,2022-12-16,44206778,64678772.81,20471994.81,459,779.84,320.84,0.7766,3.3334,477.56,44.31,55.80,Cloudy,246,25458.56,209.97,9017,69.84,2,1.27,86.89,0,54.83,High
PJT_310,Tunnel,Seattle,2020-10-29,2023-01-18,22941638,21778011.12,-1163626.88,571,811.43,240.43,1.2817,0.4817,84.43,31.34,73.73,Rainy,101,18210.33,548.11,9270,55.70,5,8.29,77.03,1,78.76,High
PJT_311,Road,Houston,2020-10-30,2022-10-30,26255519,29869893.00,3614374.00,572,730.56,158.56,0.1684,0.8843,346.73,32.87,81.93,Cloudy,175,24380.65,381.21,7374,69.25,1,6.12,74.53,0,58.55,High
PJT_312,Road,New York,2020-10-31,2023-12-02,35003058,31020729.70,-3982328.30,755,1127.81,372.81,0.6004,2.9552,220.01,27.21,73.65,Sunny,132,7764.08,631.42,3100,90.22,5,8.29,79.20,0,66.26,High
PJT_313,Road,Houston,2020-11-01,2022-10-22,24982431,27924218.22,2941787.22,618,720.93,102.93,0.2073,1.2211,155.58,7.17,25.95,Snowy,272,18721.06,403.83,1322,72.31,0,5.15,93.17,0,91.13,Medium
PJT_314,Building,Houston,2020-11-02,2023-09-28,2492262,3715332.37,1223070.37,892,1060.94,168.94,0.8177,1.9515,307.64,34.46,27.00,Cloudy,136,27352.91,830.31,6563,50.00,4,4.27,71.80,0,86.26,High
PJT_315,Tunnel,Chicago,2020-11-03,2022-02-17,4189775,4371017.02,181242.02,399,471.30,72.30,1.1897,4.0230,331.06,42.69,70.24,Stormy,74,31633.91,346.03,9700,68.52,3,4.13,53.83,0,55.42,Medium
PJT_316,Building,New York,2020-11-04,2023-10-05,14426939,16148134.32,1721195.32,859,1065.17,206.17,0.5774,2.5768,352.20,20.12,81.66,Stormy,270,13394.25,549.28,8656,56.08,8,8.28,92.64,0,94.12,High
PJT_317,Tunnel,Chicago,2020-11-05,2022-03-18,10914911,10983053.51,68142.51,385,498.07,113.07,1.5182,3.8277,429.85,12.56,80.21,Snowy,212,14160.11,471.19,5702,78.76,4,7.18,61.81,0,23.50,High
PJT_318,Tunnel,Seattle,2020-11-06,2022-08-31,38569220,57635548.22,19066328.22,497,663.00,166.00,0.9018,4.5283,140.90,5.00,22.04,Sunny,218,29781.78,679.86,1691,97.83,7,8.04,52.77,1,38.25,High
PJT_319,Building,Houston,2020-11-07,2023-07-26,46075149,58853165.10,12778016.10,596,991.29,395.29,0.2716,4.7158,375.91,-2.27,27.84,Stormy,288,10428.92,697.80,9605,55.11,1,3.14,56.11,1,39.64,High
PJT_320,Bridge,New York,2020-11-08,2023-02-22,15630295,14751569.83,-878725.17,421,836.82,415.82,0.4328,4.8496,247.76,3.99,61.26,Rainy,186,21861.72,953.84,6185,72.74,7,7.14,98.17,1,94.33,High
PJT_321,Building,New York,2020-11-09,2023-05-09,2414266,3064931.05,650665.05,556,911.32,355.32,1.8199,0.1740,382.75,33.94,23.83,Cloudy,114,29872.76,378.34,6945,94.19,1,5.81,61.82,0,10.71,High
PJT_322,Road,Los Angeles,2020-11-10,2022-02-08,16801483,17529405.34,727922.34,488,455.83,-32.17,1.7329,0.8011,247.48,7.45,76.86,Rainy,252,6524.68,879.80,9055,68.27,6,9.34,66.64,1,92.67,High
PJT_323,Tunnel,Seattle,2020-11-11,2023-06-22,5453829,5883081.48,429252.48,895,953.31,58.31,1.2440,4.0671,382.00,14.93,21.91,Snowy,214,33871.66,667.14,3229,40.18,3,6.65,65.69,1,24.20,Medium
PJT_324,Bridge,Seattle,2020-11-12,2023-10-19,22434512,25653156.31,3218644.31,788,1071.45,283.45,1.7597,0.6675,128.07,22.62,42.93,Sunny,100,8797.95,430.84,7447,92.58,9,3.02,97.41,0,68.24,High
PJT_325,Dam,Houston,2020-11-13,2022-09-22,48060839,67462522.28,19401683.28,653,678.08,25.08,0.1946,3.0900,320.18,-1.79,87.06,Cloudy,292,30525.93,112.70,9615,66.11,7,8.45,74.71,0,28.28,High
PJT_326,Building,Los Angeles,2020-11-14,2023-01-31,29944629,42120699.76,12176070.76,686,808.50,122.50,1.2402,4.9760,177.34,27.25,49.28,Rainy,252,11567.43,361.17,5289,54.13,7,9.17,68.48,1,51.23,High
PJT_327,Tunnel,New York,2020-11-15,2022-10-13,47508023,52658394.62,5150371.62,316,697.87,381.87,0.5032,1.9175,240.48,22.85,25.11,Stormy,65,7345.07,937.96,8715,94.49,9,9.45,98.36,1,77.34,High
PJT_328,Tunnel,Houston,2020-11-16,2022-08-04,26564294,27802981.22,1238687.22,439,626.41,187.41,0.8499,1.8545,485.63,20.78,60.63,Sunny,93,27668.60,937.29,8669,47.92,5,7.39,71.65,0,38.19,High
PJT_329,Dam,New York,2020-11-17,2023-01-09,29862584,30874972.79,1012388.79,467,783.35,316.35,1.7662,3.0647,392.70,4.51,41.91,Cloudy,130,38159.12,542.15,3478,73.34,7,1.48,57.43,0,13.23,High
PJT_330,Building,Seattle,2020-11-18,2023-02-05,34212900,29988106.72,-4224793.28,658,809.31,151.31,0.7774,3.5451,268.34,17.11,79.21,Cloudy,81,20732.19,283.36,5654,50.84,2,7.75,91.13,0,69.68,High
PJT_331,Dam,Chicago,2020-11-19,2021-12-06,39304921,38022391.63,-1282529.37,184,382.79,198.79,1.8488,1.2308,274.15,-4.81,43.01,Sunny,224,49160.05,209.79,7120,75.42,1,8.53,57.69,1,84.76,High
PJT_332,Road,New York,2020-11-20,2024-04-22,40876372,52227907.97,11351535.97,823,1249.26,426.26,0.7259,0.2192,330.06,14.92,86.32,Stormy,83,14511.51,143.81,5635,59.39,0,7.69,77.36,0,18.33,High
PJT_333,Building,Seattle,2020-11-21,2023-03-27,27770884,25215196.20,-2555687.80,425,856.48,431.48,1.7195,0.8147,400.77,5.67,72.68,Cloudy,80,18434.60,820.99,6080,94.22,9,2.18,83.28,0,56.14,High
PJT_334,Road,New York,2020-11-22,2022-12-11,38786120,48103379.43,9317259.43,577,749.51,172.51,0.2714,2.1127,215.71,0.25,64.15,Snowy,60,28100.37,975.94,4673,78.86,2,9.38,76.36,1,17.56,High
PJT_335,Road,New York,2020-11-23,2022-09-15,33051956,34547742.61,1495786.61,261,661.82,400.82,1.9700,3.4216,185.18,3.68,49.94,Stormy,62,29794.74,925.57,9411,46.46,6,4.72,73.23,0,83.15,High
PJT_336,Building,Los Angeles,2020-11-24,2022-12-06,34785593,29935599.55,-4849993.45,779,742.34,-36.66,1.5070,2.3144,403.78,36.36,23.17,Rainy,274,36697.03,382.55,8454,85.44,7,6.61,63.25,0,88.42,High
PJT_337,Dam,Seattle,2020-11-25,2021-10-21,41537302,42308088.42,770786.42,369,330.46,-38.54,1.3795,2.1690,58.06,11.72,20.93,Rainy,167,36131.28,881.90,8974,58.17,9,4.25,83.69,0,45.55,High
PJT_338,Building,Houston,2020-11-26,2021-09-21,13804511,12738017.64,-1066493.36,308,299.61,-8.39,0.1302,4.8526,436.56,1.51,65.40,Cloudy,161,42894.04,872.37,9824,51.45,4,7.93,57.41,1,20.48,High
PJT_339,Dam,New York,2020-11-27,2023-03-22,31166526,38347202.43,7180676.43,676,845.89,169.89,0.4825,2.8472,425.23,-7.20,20.55,Rainy,300,23705.87,546.13,5764,42.22,6,5.37,79.55,0,71.08,High
PJT_340,Road,Seattle,2020-11-28,2022-02-13,29320245,35907395.12,6587150.12,242,442.00,200.00,1.1512,1.3392,341.74,38.90,28.19,Stormy,290,34078.09,503.49,8147,41.25,4,7.54,73.46,0,55.69,High
PJT_341,Bridge,Los Angeles,2020-11-29,2024-02-10,48996203,62569267.79,13573064.79,796,1168.33,372.33,0.3492,1.4670,370.12,42.79,78.32,Sunny,253,26254.62,973.85,3654,77.31,4,7.22,54.31,0,25.60,High
PJT_342,Dam,Chicago,2020-11-30,2022-09-17,28916237,42304037.01,13387800.01,683,656.48,-26.52,1.0381,1.1736,300.57,44.96,45.12,Sunny,141,35461.75,257.24,9248,41.92,1,4.04,55.70,0,60.58,High
PJT_343,Road,Los Angeles,2020-12-01,2023-04-13,4132397,5581057.04,1448660.04,528,863.99,335.99,1.1583,4.4816,434.03,38.05,62.30,Snowy,230,7268.99,951.64,8489,97.76,1,9.77,89.08,1,87.25,High
PJT_344,Tunnel,Chicago,2020-12-02,2022-01-16,12210287,15378270.08,3167983.08,222,410.87,188.87,1.7547,4.5549,120.66,6.07,50.91,Stormy,177,37964.84,189.36,6959,60.08,2,2.11,60.09,1,79.23,High
PJT_345,Tunnel,Seattle,2020-12-03,2023-01-07,34891501,33541903.57,-1349597.43,665,765.90,100.90,0.6054,3.5760,236.75,24.62,37.18,Stormy,157,40424.71,224.19,8025,64.80,6,9.08,97.59,1,71.40,High
PJT_346,Tunnel,New York,2020-12-04,2022-09-22,49159047,67547502.87,18388455.87,329,657.18,328.18,1.8929,0.4239,191.66,44.01,31.50,Snowy,150,39163.66,694.16,3473,94.15,0,9.80,99.00,1,88.82,High
PJT_347,Building,New York,2020-12-05,2023-08-12,48029247,58108029.75,10078782.75,591,980.46,389.46,0.6782,3.7135,459.15,-9.57,39.58,Stormy,206,46420.28,730.27,8310,78.63,8,6.62,80.91,0,41.07,High
PJT_348,Road,Seattle,2020-12-06,2022-03-03,37066551,39565592.73,2499041.73,488,452.67,-35.33,1.4777,3.7003,106.70,44.56,39.87,Snowy,180,29830.36,569.20,3621,41.41,8,6.33,62.07,0,75.39,High
PJT_349,Bridge,Houston,2020-12-07,2022-08-06,18431960,23178985.89,4747025.89,241,607.04,366.04,0.7735,0.2387,342.93,-3.14,40.86,Snowy,166,20254.11,312.49,9737,90.67,3,4.15,64.23,0,74.34,High
PJT_350,Dam,New York,2020-12-08,2023-09-26,8061659,8570353.92,508694.92,712,1022.88,310.88,1.2065,4.1142,212.57,-4.61,69.81,Rainy,70,9151.19,482.40,3130,68.58,7,1.70,83.84,0,60.31,High
PJT_351,Road,Los Angeles,2020-12-09,2023-07-29,29415382,44056378.15,14640996.15,778,962.38,184.38,1.4091,4.7391,379.27,12.93,31.40,Stormy,82,26814.40,511.94,9408,91.80,1,7.25,72.77,1,24.12,High
PJT_352,Bridge,Los Angeles,2020-12-09,2022-06-01,28422014,26197096.28,-2224917.72,301,539.85,238.85,0.8022,1.4480,285.25,-3.52,41.34,Sunny,127,18229.16,125.18,3340,48.53,9,4.80,96.84,0,35.51,High
PJT_353,Dam,New York,2020-12-10,2021-05-25,24397434,21809279.79,-2588154.21,182,166.83,-15.17,0.1849,2.4059,189.37,14.88,43.65,Rainy,171,42550.70,850.32,3175,85.72,8,6.73,88.08,0,23.41,High
PJT_354,Building,Houston,2020-12-11,2023-12-07,28489691,31387173.17,2897482.17,819,1091.19,272.19,1.8105,1.6950,70.62,26.87,51.02,Sunny,215,8983.85,249.05,1406,74.32,4,6.05,56.19,0,27.32,High
PJT_355,Bridge,Chicago,2020-12-12,2023-12-08,39268452,46695685.56,7427233.56,770,1091.54,321.54,1.5261,2.5132,58.40,26.20,57.23,Snowy,120,40404.07,320.76,8278,45.08,8,6.46,70.09,1,87.58,High
PJT_356,Tunnel,Los Angeles,2020-12-13,2022-09-16,2614433,3683138.61,1068705.61,627,642.67,15.67,0.7030,1.2859,101.59,-4.54,31.77,Cloudy,96,16499.95,180.67,6026,97.13,2,1.53,98.06,1,74.20,Medium
PJT_357,Building,New York,2020-12-14,2021-12-19,28704069,41059941.13,12355872.13,281,370.62,89.62,0.5901,4.7079,454.78,-7.15,36.77,Stormy,200,15642.10,557.76,9264,63.10,1,3.42,65.92,1,15.89,High
PJT_358,Tunnel,New York,2020-12-15,2023-05-05,2249757,2305897.05,56140.05,828,871.88,43.88,1.9306,3.3755,160.84,20.51,74.96,Sunny,195,23303.57,175.52,9199,52.21,2,4.36,99.27,0,58.38,Medium
PJT_359,Road,Chicago,2020-12-16,2022-07-23,32182271,47459979.89,15277708.89,642,584.15,-57.85,1.2794,3.2653,125.32,-6.69,84.53,Sunny,203,16290.00,712.00,6757,90.55,3,6.27,75.52,1,76.53,High
PJT_360,Bridge,Houston,2020-12-17,2022-03-16,47870797,44516730.91,-3354066.09,487,454.55,-32.45,0.3653,2.7824,175.76,13.76,62.73,Sunny,276,35694.54,408.37,5282,98.78,7,3.46,83.11,0,28.96,High
PJT_361,Bridge,Los Angeles,2020-12-18,2022-08-10,9974182,12669087.68,2694905.68,196,600.43,404.43,0.1039,2.3826,455.65,27.00,48.92,Rainy,245,22675.60,173.03,2270,72.32,7,7.05,67.65,0,84.47,High
PJT_362,Building,New York,2020-12-19,2022-12-14,47776900,71162119.54,23385219.54,361,725.75,364.75,0.3371,1.8524,136.85,-9.49,72.02,Sunny,224,46462.94,422.04,2474,88.98,4,8.28,61.06,0,97.06,High
